Orbital position;Satellite;Norad;Ini;News;Channels;FTA;Longitude;Declination;Max Declination;Azimuth;Elevation;Last Updated;Download satinfo
45.0°E;Intelsat 12 (IS-12);26590;;;0;0;44.99°E;0.17°;0.86°;N/A;N/A;15-6-2017 19:08;http://en.kingofsat.net/dl.php?pos=45E&fkhz=0
42.0°E;Turksat 3A;33056;;;273;168;42.01°E;0.01°;0.06°;N/A;N/A;9-12-2017 15:51;http://en.kingofsat.net/dl.php?pos=42E&fkhz=0
42.0°E;Türksat 4A;39522;;;277;225;42°E;-0.01°;0.03°;N/A;N/A;9-12-2017 17:16;http://en.kingofsat.net/dl.php?pos=42E&fkhz=0
40.0°E;Express AM 7;40505;;;60;13;40.02°E;-0.01°;0.01°;N/A;N/A;16-4-2017 22:13;http://en.kingofsat.net/dl.php?pos=40E&fkhz=0
39.0°E;Hellas Sat 2;27811;;;210;26;39.02°E;0.05°;0.05°;N/A;N/A;4-12-2017 17:56;http://en.kingofsat.net/dl.php?pos=39E&fkhz=0
39.0°E;Hellas Sat 3;42814;;;98;44;38.99°E;0.00°;0.07°;N/A;N/A;2-12-2017 22:38;http://en.kingofsat.net/dl.php?pos=39E&fkhz=0
38.0°E;Paksat 1R;37779;;;64;59;37.96°E;0.04°;0.04°;N/A;N/A;17-2-2016 13:50;http://en.kingofsat.net/dl.php?pos=38E&fkhz=0
36.0°E;Express AMU1;41191;;;10;9;36.11°E;0.00°;0.00°;N/A;N/A;27-2-2016 11:56;http://en.kingofsat.net/dl.php?pos=36E&fkhz=0
36.0°E;Eutelsat 36B;36101;;;328;53;35.92°E;-0.06°;0.07°;N/A;N/A;9-12-2017 17:12;http://en.kingofsat.net/dl.php?pos=36E&fkhz=0
33.1°E;Hot Bird 13D;33750;;;0;0;33.13°E;0.00°;0.05°;N/A;N/A;23-3-2016 23:43;http://en.kingofsat.net/dl.php?pos=33.1E&fkhz=0
